comparison,mean_delta,sd_or_ci_low,n_or_ci_high,kind
Foveated bins (A1 - B2),0.0009355726737986236,0.020703353945085785,3.0,dev
Learned gate (A2 - A1),-0.011192486205350441,0.04319062642094163,3.0,dev
Disagreement loss (P - A2),0.02129614225172838,0.04792040718181841,3.0,dev
All three (P - B2),0.01103922872017656,0.06780629908293193,3.0,dev
ImageNet pretraining (B3 - B3 scratch),-0.15802655677577937,0.06005647329899738,3.0,dev
Width 1.0 vs 0.5 (B3 - B3 half),-0.19791989062434212,0.05643396500673296,3.0,dev
Pretrained B3 vs control (B3 - B2),-0.07837954243888808,0.024945534738817055,3.0,dev
"Multi-scale block, test (P+MSF - P)",0.023894853530270987,0.0012992084198151872,0.04534646244503121,test
"Primary, test (P - B3)",0.06566447534470776,0.033439957683243995,0.09730142284235661,test
