config,tune_kl_mean,tune_kl_sd,spearman_mean,spearman_sd,aurc_entropy,aurc_dhat,n
A2,0.9905252547557127,0.01712493596375498,,,0.4420402467027365,,6
P,0.990216598712896,0.046379983729330394,0.3126069590816946,0.021037054872520198,0.4539726592924354,0.4827544820334529,6
P_DM,0.997434609146849,0.04410669797350063,0.3102411148924854,0.032614332658938476,0.4504451074049995,0.4720270353583624,3
