config,patient_fraction,kl_mean,kl_sd,n,n_patients,n_rows
B3,0.25,1.1959011266910327,0.07984102030601024,3,292,14120
B3,0.5,0.9769360311710171,0.009977049487665464,3,585,33503
B3,0.75,0.9228544607253178,0.023213198851742514,3,878,47428
B3,1.0,0.8994052169720025,0.02530226485204033,6,1170,64292
P,0.25,1.187143708181192,0.06233785132623871,3,292,14120
P,0.5,1.0599414929446953,0.044085097512183646,3,585,33503
P,0.75,1.051780294570329,0.05741097895609977,3,878,47428
P,1.0,0.9902166127540339,0.046379984073247914,6,1170,64292
