analysis,item,delta,ci_low,ci_high,n_rows,n_groups,kl_candidate,kl_comparator,status,low_support,extra
stratum,votes_1,0.12276231591286446,-0.03206279701614347,0.28907747940458867,510.0,28.0,0.9394119843238691,0.8166496684110046,PASS,True,
stratum,votes_2-4,0.05677806856289336,0.012485266896615355,0.09863573011368389,11990.0,353.0,1.0571544364342589,1.0003763678713655,PASS,False,
stratum,votes_5-9,0.017512710419819444,-0.04273676082991667,0.07365443266429332,315.0,56.0,0.4909644198093525,0.47345170938953307,PASS,False,
stratum,votes_10+,0.07882106417934409,0.02712755555887966,0.12885920732395295,8490.0,239.0,0.7444285497393933,0.6656074855600494,PASS,False,
stratum,entropy_low,0.0727479804381832,0.028320254271715795,0.11547553777558726,10877.0,357.0,1.045643375154763,0.9728953947165799,PASS,False,
stratum,entropy_mid,0.09395677019900928,0.050527337302550046,0.14079573827091074,2380.0,168.0,0.7364632107920663,0.6425064405930571,PASS,False,
stratum,entropy_high,0.0194043737440176,-0.033170423766110395,0.07139538315192658,8048.0,250.0,0.8149229076951275,0.79551853395111,PASS,False,
stratum,valid_fraction_lt_0.95,0.11901962824397172,0.028494085523937007,0.20589171162052322,1523.0,134.0,1.0363266366758066,0.917307008431835,PASS,False,
stratum,valid_fraction_ge_0.95,0.06432076866814973,0.029729102324166524,0.09609636917919324,19782.0,381.0,0.9174615386957157,0.8531407700275659,PASS,False,
stratum,majority_Seizure,0.05576201743273923,-0.006770309446615932,0.11348346206912129,4363.0,191.0,0.9834467062937342,0.9276846888609952,PASS,False,
stratum,majority_LPD,0.17934286953599488,0.04549573430463783,0.3075811794917696,2485.0,52.0,1.1714653918402536,0.9921225223042587,PASS,False,
stratum,majority_GPD,0.08183200542197533,-0.061507701421081876,0.23482189414076385,3143.0,65.0,0.9832477023527376,0.9014156969307625,PASS,False,
stratum,majority_LRDA,-0.02843058050275049,-0.1543938971442906,0.09254434233062718,3137.0,93.0,1.5802083060717382,1.608638886574489,PASS,False,
stratum,majority_GRDA,0.0388272870601305,-0.029467344256559214,0.10799080224586803,3608.0,140.0,0.9791913013075304,0.9403640142473999,PASS,False,
stratum,majority_Other,0.06761161342918509,0.023745085853194327,0.10813354988076089,3746.0,239.0,0.776984965995291,0.7093733525661059,PASS,False,
stratum,tied_majority,0.04236532608270771,-0.020665997468122848,0.10607072983607388,823.0,97.0,0.760113733456987,0.7177484073742791,PASS,False,
robustness_P,clean,0.0,0.0,0.0,,,0.9066550838935926,,PASS,,"{""label_flip_fraction"": 0.0, ""js_distance"": 0.0, ""majority_error"": 0.41160949868073876, ""severity"": 0.0, ""units"": ""none""}"
robustness_P,region_missing_LL,0.08415945607813202,0.03787644367804126,0.13128866168167053,,,0.9908145399717246,,PASS,,"{""label_flip_fraction"": 0.3127413127413127, ""js_distance"": 0.19722425298538174, ""majority_error"": 0.4841688654353562, ""severity"": 1.0, ""units"": ""regions removed""}"
robustness_P,time_mask_10pct,-0.00023054059009930405,-0.02565031578661736,0.02375193134482743,,,0.9064245433034933,,PASS,,"{""label_flip_fraction"": 0.16087516087516088, ""js_distance"": 0.09885387996324349, ""majority_error"": 0.41424802110817943, ""severity"": 0.1, ""units"": ""fraction of time axis""}"
robustness_P,gain_shift_mild,0.007958264330639953,-0.010137022921658013,0.02646883555690694,,,0.9146133482242326,,PASS,,"{""label_flip_fraction"": 0.12226512226512226, ""js_distance"": 0.07549516631722118, ""majority_error"": 0.41952506596306066, ""severity"": 0.5, ""units"": ""log-power units""}"
robustness_P,gain_shift_strong,0.11857478136952493,0.0708995998712339,0.1668083918290095,,,1.0252298652631175,,PASS,,"{""label_flip_fraction"": 0.29214929214929214, ""js_distance"": 0.18666703433179438, ""majority_error"": 0.4656992084432718, ""severity"": 1.5, ""units"": ""log-power units""}"
robustness_P,stft_window_512,0.05309044049105782,0.024121388104890396,0.08181368263818979,,,0.9597455243846504,,PASS,,"{""label_flip_fraction"": 0.17503217503217502, ""js_distance"": 0.10768534881578255, ""majority_error"": 0.4366754617414248, ""severity"": 512, ""units"": ""STFT window samples""}"
robustness_B3,clean,0.0,0.0,0.0,,,0.9018645680498909,,PASS,,"{""label_flip_fraction"": 0.0, ""js_distance"": 0.0, ""majority_error"": 0.391820580474934, ""severity"": 0.0, ""units"": ""none""}"
robustness_B3,region_missing_LL,0.05279006276130238,0.0018786789660123733,0.10183631159136897,,,0.9546546308111933,,PASS,,"{""label_flip_fraction"": 0.3333333333333333, ""js_distance"": 0.196585114449302, ""majority_error"": 0.45382585751978893, ""severity"": 1.0, ""units"": ""regions removed""}"
robustness_B3,time_mask_10pct,-0.006908178832808698,-0.035185238612859944,0.023178655908630358,,,0.8949563892170822,,PASS,,"{""label_flip_fraction"": 0.17374517374517376, ""js_distance"": 0.11250449065725111, ""majority_error"": 0.3733509234828496, ""severity"": 0.1, ""units"": ""fraction of time axis""}"
robustness_B3,gain_shift_mild,-0.0033272692420875938,-0.02229960307037689,0.014079045376565676,,,0.8985372988078033,,PASS,,"{""label_flip_fraction"": 0.10167310167310167, ""js_distance"": 0.06572167484360784, ""majority_error"": 0.39841688654353563, ""severity"": 0.5, ""units"": ""log-power units""}"
robustness_B3,gain_shift_strong,0.040031117005595585,-0.005235804327101579,0.08310159434424837,,,0.9418956850554865,,PASS,,"{""label_flip_fraction"": 0.26640926640926643, ""js_distance"": 0.15971808418764658, ""majority_error"": 0.43007915567282323, ""severity"": 1.5, ""units"": ""log-power units""}"
robustness_B3,stft_window_512,0.1419798379606163,0.0830784273700006,0.2007252141427893,,,1.0438444060105072,,PASS,,"{""label_flip_fraction"": 0.29987129987129985, ""js_distance"": 0.19323208849841164, ""majority_error"": 0.45382585751978893, ""severity"": 512, ""units"": ""STFT window samples""}"
evidence_deletion,intact,0.0,0.0,0.0,,,0.9234728514977225,,PASS,,"{""js"": 0.0, ""flip"": 0.0}"
evidence_deletion,local_removed,0.40806721452300365,0.3491051535341664,0.46642700637269513,,,1.3315400660207262,,PASS,,"{""js"": 0.21958118919667274, ""flip"": 0.3154189157474771}"
evidence_deletion,context_removed,0.0903599439637518,0.056954607626903526,0.12863865685811118,,,1.0138327954614743,,PASS,,"{""js"": 0.18050136343491613, ""flip"": 0.28800750997418445}"
evidence_deletion,region_removed_LL,0.09675968722277861,0.05466088165985847,0.13900090731103426,,,1.0202325387205011,,PASS,,"{""js"": 0.198862988989732, ""flip"": 0.3289368692795119}"
evidence_deletion,region_removed_RL,0.11660690136569996,0.07753928314484795,0.15373469867298256,,,1.0400797528634225,,PASS,,"{""js"": 0.21598133958420948, ""flip"": 0.36667448955644216}"
evidence_deletion,region_removed_LP,0.2035776518257807,0.1555731361789554,0.2532187104005775,,,1.1270505033235032,,PASS,,"{""js"": 0.2375365699843088, ""flip"": 0.4253461628725651}"
evidence_deletion,region_removed_RP,0.06553686977803708,0.03059316536017059,0.09921448341733834,,,0.9890097212757596,,PASS,,"{""js"": 0.1771432055363438, ""flip"": 0.30246421027927717}"
referral_P_seed101,coverage_0.8,,,,,,,,PASS,,"{""threshold"": 1.4215715306446832, ""acceptance_rule"": ""accept if score <= threshold; NaN scores are referred"", ""n_rows"": 21305, ""n_accepted"": 16895, ""n_referred"": 4410, ""actual_coverage"": 0.7930063365407182, ""fraction_referred"": 0.20699366345928186, ""accepted_risk"": 0.8150887888373145, ""referred_risk"": 1.1703037215802645, ""whole_cohort_risk"": 0.8886160290812203, ""accepted_risk_patient_weighted"": 0.8925465820823588, ""whole_cohort_risk_patient_weighted"": 0.9234728395650266, ""n_groups"": 391, ""n_groups_accepted"": 385, ""status"": ""PASS"", ""reason"": null}"
