encoding,time_bins,kl_mean,kl_sd,n,local_bytes
foveated,8,0.9988733928579744,0.033704529871458014,3,4352
uniform,8,1.0135987410342004,0.032960384713429595,3,4352
foveated,16,1.0066713343341143,0.02111251061485329,3,8704
uniform,16,1.0039036610411514,0.01714395302078489,3,8704
foveated,32,0.9794583415235371,0.024795637842366314,6,17408
uniform,32,0.9802192299577023,0.014161845600226198,6,17408
