config,seed,params,tune_kl_last,tune_rowkl_last,tune_kl_best,gate_mean,wall_min
A1,101,147524,0.9797808818066581,0.9358569233732044,0.968725152680912,0.5,1.1802093664805093
A1,101,147524,1.0054817557769342,0.9689157147287555,0.9987836299752001,0.5,1.2200740655263265
A1,202,147524,0.9735310068052317,0.9474402072261918,0.9735310068052317,0.5,1.0491929690043131
A1,202,147524,0.989595880963652,0.9492889648417758,0.9742784601764758,0.5,1.095287517706553
A1,303,147524,0.9941139696611861,0.9461237653646876,0.9918045312798502,0.5,1.037817935148875
A1,303,147524,0.93424655412756,0.9175432754665732,0.93424655412756,0.5,1.0929652214050294
A2,101,155877,1.0131089507906568,0.9961420544240411,1.0111372377591552,0.6281341314315796,1.0628637274106343
A2,101,155877,0.9650869706063654,0.9402035545025963,0.9393679362729425,0.6052920818328857,1.2462158203125
A2,202,155877,0.996893017462675,0.9909220857749591,0.9622607226837937,0.5346537828445435,1.1716212034225464
A2,202,155877,0.9761829553508253,0.9336879508113151,0.9761829553508253,0.43400004506111145,1.2561836043993633
A2,303,155877,0.9974064411967911,0.9657734110859013,0.9822042073638847,0.7012836337089539,1.154440426826477
A2,303,155877,0.9944732779128589,0.9532153551639453,0.9581802938281332,0.5151439309120178,1.2236449758211771
B2,101,147524,0.9942742145037856,0.9889866837975637,0.985334112594801,0.5,1.2133811593055726
B2,101,147524,0.9751123007883231,0.9443697382545989,0.968485123059124,0.5,1.1195119698842366
B2,202,147524,0.9619595727850908,0.9544847683320402,0.9619595727850908,0.5,1.2156018694241841
B2,202,147524,0.9710109051029269,0.948548420114886,0.9640911378732939,0.5,1.0874971985816955
B2,303,147524,0.979746160106643,0.9557398628330097,0.9572082414697339,0.5,1.0108938852945963
B2,303,147524,0.9992122264594441,0.9542433827701402,0.9992122264594441,0.5,1.0144690195719401
B3,101,1524150,0.9266079544630345,0.8750975284923013,0.9266079544630345,0.5,1.08704727490743
B3,101,1524150,0.867784885961824,0.8530542001907329,0.867784885961824,0.5,0.9975934386253357
B3,202,1524150,0.8804033800373502,0.8422840905338514,0.8555163402418371,0.5,0.9203007260958354
B3,202,1524150,0.9001293606846484,0.8382649817139513,0.8666233214436279,0.5,0.8678135315577189
B3,303,1524150,0.931271834023973,0.878370466750673,0.8872390049034703,0.5,0.8410932580629985
B3,303,1524150,0.8902338866611855,0.8536476667291192,0.8833865718809106,0.5,0.8213744362195333
B3H,101,574518,1.0753607312832039,1.0492544624881244,1.0753607312832039,0.5,1.0032482226689656
B3H,101,574518,1.0976809500265132,1.0683492514050648,1.0976809500265132,0.5,0.6595816890398661
B3H,202,574518,1.1150567779691152,1.070175380973667,1.1150567779691152,0.5,0.8520468274752299
B3H,202,574518,1.0905371751585844,1.0509515797575484,1.0905371751585844,0.5,0.656249984105428
B3H,303,574518,1.0727054637055604,1.0466193115327682,1.0727054637055604,0.5,0.6618333697319031
B3H,303,574518,1.1009063468284257,1.042603592051942,1.1009063468284257,0.5,0.8878430485725403
B3S,101,1524150,1.0494408686914112,0.9827173662596329,1.0153861806733349,0.5,1.2722552220026653
B3S,101,1524150,1.2373024801322146,1.1582183963989763,1.1622689625832117,0.5,1.057068109512329
B3S,202,1524150,1.0691660831044543,1.0409202089079268,1.0513735496097212,0.5,1.372696288426717
B3S,202,1524150,1.2006551068515476,1.0806485349156523,1.1370323556593425,0.5,1.145357882976532
B3S,303,1524150,1.1910016529249394,1.1604412445597996,1.076683244144056,0.5,1.2320498863855998
B3S,303,1524150,1.1515545838430552,1.0830631100580896,1.060980298420717,0.5,1.184550948937734
P,101,164134,0.9269702142979406,0.9015456460989534,0.9269702142979406,0.3385198414325714,1.2516528765360515
P,101,164134,0.9890071443701122,1.0285169655586226,0.9890071443701122,0.5978125929832458,1.1987346331278483
P,202,164134,0.9910130556232729,0.9454674910290445,0.9763140840822311,0.6496806740760803,1.3707685669263203
P,202,164134,1.0281197480617819,1.0247524599838465,1.0281197480617819,0.5824519991874695,0.9892664631207784
P,303,164134,1.0530195489803924,1.0904606354596464,1.034335315983164,0.7222557067871094,1.270600712299347
P,303,164134,0.9531699651907041,0.9560481464390315,0.9391419635361047,0.5275976061820984,1.2457618355751037
