config,params,n_seeds,kl_mean,kl_sd,rowkl_mean,best_mean
A1,147524,3,0.9764413969560488,0.03739510430038229,0.9452493183457015,0.9691028814264119
A2,155877,3,0.9785810679566832,0.014839203898144263,0.9423689534926188,0.9579103951506337
B2,147524,3,0.9786599824651732,0.016184679599965033,0.9664037716542045,0.9681673089498752
B3,1524150,3,0.9127610561747859,0.0281194300600335,0.8652506952589419,0.8897877665361139
B3H,574518,3,1.0877076576526266,0.023722213177558977,1.05534971833152,1.0877076576526266
B3S,1524150,3,1.1032028682402684,0.07667294806507088,1.0613596065757864,1.0478143248090372
P,164134,3,0.990334272967202,0.06302740874328272,0.9791579241958814,0.979206538121112
